X,Y,OBJECTID,Name,County,Latitude,Longitude,Status,Date_Data_Refers_To,Comments,Source,Last_Modified_Date,ID,DWR_Regional_Office_,Elevation,Connect,Disconnect,Last_Modified_By
-119.732000000357,36.8139999997478,1,Fresno/F.S.U. USDA,Fresno,36.814,-119.732,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,1,SCRO,340,1982/06/07 00:00:00+00,9/25/1988,"AU, GDSS"
-120.112905999817,36.3362220000584,2,Five Points  ,Fresno,36.336222,-120.112906,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,2,SCRO,285,1982/06/07 00:00:00+00,Active,"AU, GDSS"
-121.793000000133,36.8810000002272,3,Beach /Santa Cruz CO,Santa Cruz,36.881,-121.793,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,3,SCRO,10,1982/05/30 00:00:00+00,8/25/1986,"AU, GDSS"
-121.725999999982,36.971999999767,4,Webb /Santa Cruz CO,Santa Cruz,36.972,-121.726,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,4,SCRO,230,1982/05/30 00:00:00+00,4/29/1988,"AU, GDSS"
-119.281861999878,35.5326950000692,5,Shafter/USDA,Kern,35.532695,-119.281862,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,5,SCRO,360,1982/06/01 00:00:00+00,Active,"AU, GDSS"
-121.77638499959,38.5357939997553,6,Davis,Yolo,38.535794,-121.776385,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,6,NCRO,60,1982/07/17 00:00:00+00,Active,"AU, GDSS"
-120.590980000343,36.8512480000742,7,Firebaugh/Telles,Fresno,36.851248,-120.59098,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,7,SCRO,185,1982/09/22 00:00:00+00,Active,"AU, GDSS"
-122.165407999888,40.0440649999766,8,Gerber,Tehama,40.044065,-122.165408,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,8,NRO,250,1982/09/22 00:00:00+00,8/14/2014,"AU, GDSS"
-118.89400000022,35.2379999997969,9,Lamont,Kern,35.238,-118.894,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,9,SCRO,406,1982/09/29 00:00:00+00,4/10/1989,"AU, GDSS"
-119.082211000385,35.0772219999634,10,Bakersfield/Greenlee,Kern,35.077222,-119.082211,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,10,SCRO,400,1982/10/01 00:00:00+00,4/16/1986,"AU, GDSS"
-119.180999999702,35.1600000002761,11,Bakersfield/Bonanza,Kern,35.16,-119.181,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,11,SCRO,290,1982/09/29 00:00:00+00,4/17/1986,"AU, GDSS"
-121.824430999997,39.6086390001922,12,Durham,Butte,39.608639,-121.824431,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,12,NRO,130,1982/10/19 00:00:00+00,Active,"AU, GDSS"
-120.733869999988,38.7523069996846,13,Camino,El Dorado,38.752307,-120.73387,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,13,NCRO,2780,1982/10/19 00:00:00+00,Active,"AU, GDSS"
-122.170999999955,39.7389999999739,14,Orland,Glenn,39.739,-122.171,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,14,NRO,235,1982/10/30 00:00:00+00,4/21/1987,"AU, GDSS"
-119.851407999848,36.1581379996537,15,Stratford,Kings,36.158138,-119.851408,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,15,SCRO,193,1982/10/29 00:00:00+00,Active,"AU, GDSS"
-121.702999999876,36.9049999996977,16,San Juan,Monterey,36.905,-121.703,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,16,SCRO,44,1982/10/23 00:00:00+00,8/24/1995,"AU, GDSS"
-115.447999999983,32.8460000003693,17,El Centro,Imperial,32.846,-115.448,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,17,SRO,-86,1982/11/08 00:00:00+00,5/27/1987,"AU, GDSS"
-115.614000000238,33.0769999998236,18,Westmorland,Imperial,33.077,-115.614,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,18,SRO,-195,1982/11/11 00:00:00+00,4/9/1986,"AU, GDSS"
-121.773771999855,36.7682560000944,19,Castroville,Monterey,36.768256,-121.773772,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,19,SCRO,9,1982/11/18 00:00:00+00,11/20/2019,"AU, GDSS"
